,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
10,13,1,0.32766944,0.516446,-0.14368838,0.23509994,0.0027939847,-0.29198456,-0.2010966,-0.20192191,0.021491544,-0.3191735,-0.20598248,-0.67616326,-0.0586531,0.13624527,0.100454554,0.016091082,-0.23941357,-0.13430277,-0.055951882,-0.10788157,0.2408205,-0.09349185,0.16075212,-0.15026237,-0.29789618,0.15086852,-0.24957405,0.12710495,0.18170424,-0.23132385,-0.0139672635,0.10575525,0.29526174,0.17233944,-0.017805865,0.31312048,-0.06781444,0.04476614,-0.0054704747,-0.06238137,0.37296727,0.083219275,0.20484339,0.22007021,0.17762078,-0.10494792,0.32558823,0.27395,0.20870806,-0.041255396,-0.3476056,-0.28530642,-0.26630664,-0.09659977,-0.0058040787,0.23955467,0.29713976,-0.08816046,0.043436687,0.44326597,0.109299675,0.3632224,0.06604137,0.12169957,-0.7037182,-0.36041808,0.2368284,-0.28601357,-0.17396167,-0.22551224,0.07755026,0.19733994,0.08265307,0.20602024,0.012131945,0.083467476,0.14667763,-0.09733918,0.049840767,-0.28329918,-0.42683586,-0.017824214,-0.2360811,-0.10824154,-0.030909719,0.28379592,0.01959821,-0.3984414,0.015198833,-0.15640329,0.19530909,-0.030161334,-0.07322782,0.060407225,0.3751588,-0.05669659
11,13,1,0.41030023,0.48149228,-0.100419536,0.107013196,0.08213273,-0.23500097,-0.08289307,-0.09879072,-0.03818141,-0.39745122,-0.2501598,-0.5747863,-0.20069528,0.21628089,-0.044179413,0.074172355,-0.21530974,-0.0047785984,-0.17217778,-0.17699376,0.22967407,0.00024352968,0.05295714,-0.11153602,-0.2702922,0.12286912,-0.12711531,0.18297309,0.2442159,-0.23457247,0.14610504,0.17262164,0.14314255,0.034613322,0.057402864,0.3103836,-0.10575395,0.16360946,-0.09538705,0.04218007,0.38614258,0.09884019,0.12986082,0.18579349,0.27837452,-0.08073228,0.34830412,0.20665075,0.12872924,-0.061261036,-0.35158423,-0.33784622,-0.12274006,-0.07412887,-0.083740786,0.09424347,0.44988534,-0.23421001,0.011938258,0.33861053,-0.0027788396,0.2037718,-0.0021452797,0.10475963,-0.6804317,-0.4086937,0.10245648,-0.3512707,-0.10197836,-0.21594377,-0.05365894,0.18714577,0.015636213,0.20810696,0.09496453,-0.069440156,0.033860043,-0.009109066,0.026603073,-0.15371494,-0.4007112,-0.10674714,-0.27324584,-0.09269057,0.03894853,0.13713558,-0.035626028,-0.33751777,-0.074987404,-0.074204706,0.21782283,-0.20387146,-0.22238703,0.067510664,0.3441263,-0.1020018
12,20,1,0.2846074,0.36427367,-0.12124983,0.2595357,-0.18503696,-0.23658055,0.057602454,-0.08677056,0.105537154,-0.3900085,-0.26684862,-0.61252916,-0.09519582,-0.0058575487,-0.089996465,0.03115538,-0.18201485,0.065533824,-0.061341245,-0.08934022,0.41446963,0.041437093,0.16103885,-0.2709884,-0.30220348,0.14125204,-0.09835628,0.2491376,0.1853296,-0.36590713,0.19930424,0.013914325,0.093389355,0.022846187,0.11798332,0.38556147,-0.19585814,0.2562887,-0.14848535,0.07510371,0.35339284,0.009972227,-0.1513718,0.028730087,0.081482716,-0.18903615,0.38869444,0.04397822,0.15815501,0.11786305,-0.23887494,-0.25268376,-0.106726535,0.09171473,-0.012035642,-0.062867455,0.23385029,-0.40510574,0.02445097,0.30072305,0.045272287,0.16645418,-0.02150944,0.21239766,-0.49099192,-0.3599337,0.1600656,-0.314086,-0.2113327,-0.31735584,-0.12675296,0.09711599,0.0052614138,0.22420953,0.06093989,0.012402122,0.04540886,-0.10976339,0.10365613,-0.27890298,-0.45073444,-0.18101607,-0.3514267,-0.19387096,0.038405314,0.41225052,0.052285347,-0.24260771,-0.24196537,-0.2228234,0.10207718,-0.16733244,-0.14519732,0.17532723,0.40069002,0.15552032
13,10,1,0.50603276,0.44037282,-0.041949257,0.212711,0.041132253,-0.29298273,-0.17150596,0.008723637,-0.10072036,-0.26513004,-0.115858175,-0.5790359,-0.13459246,0.2040349,0.008621643,0.09420706,-0.07585778,-0.1777692,-0.08892772,-0.17108868,0.2711019,0.15207534,0.22456874,-0.17807005,-0.22200292,0.23111913,-0.13109781,0.28745493,0.3076944,-0.2252363,0.20671302,0.06475406,0.15312281,0.2957031,0.16219372,0.49227735,-0.25348467,0.17404112,-0.133914,0.31742644,0.35273138,0.25468263,0.084507294,0.13553661,0.26921627,-0.22179826,-0.16623771,0.052178696,0.007930678,-0.051183816,-0.48883176,-0.21442707,-0.029299451,-0.16131784,-0.0640856,-0.16876921,0.50782716,-0.08931006,0.12702683,0.37663013,-0.1079541,0.18666407,0.2628625,-0.11412594,-0.6862433,-0.30885983,0.21337463,-0.25813428,-0.07131282,-0.34490418,-0.03275611,0.11852885,0.005444318,0.22948639,-0.10717487,0.07781435,0.08262247,0.10981188,0.16384825,-0.38624215,-0.30483064,-0.18980098,-0.25070187,-0.10503852,0.23158053,0.07472213,-0.12442371,-0.037753362,-0.05424813,-0.040768545,0.11855311,-0.07022483,-0.09901647,-0.18942358,0.22674471,0.16715014
14,13,1,0.45726743,0.4016638,-0.1266211,0.2177831,-0.005053824,-0.17456543,-0.18403077,-0.13003457,0.039643534,-0.27514893,-0.12287464,-0.5406993,-0.05462512,0.2494751,0.1046863,0.04339784,-0.11781348,-0.10697111,-0.14967929,-0.0662163,0.3354217,0.04949149,0.103335336,-0.016432203,-0.3349463,0.17745458,-0.227766,0.22425665,0.26526463,-0.24998215,0.074506,0.11483217,0.12063798,0.23562065,0.023446517,0.35388422,-0.19721949,0.16924073,-0.16144362,0.1885822,0.26295847,0.1365863,0.09946974,0.07690981,0.21602175,-0.09642563,0.24875847,0.15841104,0.19920804,-0.12245724,-0.2932835,-0.27235594,-0.14983591,-0.024355225,-0.07290003,0.022942685,0.3164631,-0.11640156,0.05773549,0.36603722,-0.015886514,0.1742305,0.20147482,0.00042548773,-0.6195561,-0.36835885,0.17378537,-0.17729804,-0.14750743,-0.2264277,0.08348027,0.2257612,0.099947594,0.19954813,-0.06063742,0.0013954071,0.12021187,0.025643194,0.15256883,-0.28730777,-0.36041844,-0.07114489,-0.22180325,-0.046679627,0.09992585,0.18753685,0.06634532,-0.2887191,-0.14693081,-0.035287533,0.1955327,-0.095536515,-0.12358282,0.035545763,0.3347391,0.011295359
15,13,1,0.3550508,0.33006445,-0.12526207,0.08396594,-0.021576777,-0.2943842,-0.0016211257,-0.24242583,0.23033263,-0.2346222,-0.13351707,-0.57747936,-0.11476183,0.31099856,0.18263566,0.023964288,-0.17903528,-0.08038147,-0.08834748,-0.036186304,0.27107307,-0.041365437,-0.2288303,-0.07182848,-0.51993066,0.321266,-0.14448594,0.1253699,0.28485498,-0.053628366,-0.0851927,0.13929017,0.0699429,0.0036382738,0.14617757,0.36971694,-0.12328057,0.06343442,-0.14515631,0.00752969,0.28197888,0.11931777,-0.011404344,0.24090315,0.16880824,-0.04014339,0.37400267,0.08922986,0.2856523,-0.00582014,-0.30016708,-0.3707839,-0.070115045,0.0070731803,-0.021207782,-0.09957969,0.34959587,-0.13395618,0.026113026,0.2841112,0.041589864,0.22797446,0.05853937,0.050720982,-0.6315843,-0.35739475,0.18681026,-0.38602796,-0.058692764,-0.14930844,0.0009337512,0.22231387,-0.0029738457,0.18743046,0.04289846,0.021570686,0.09902423,-0.023692785,0.12919965,-0.23963325,-0.26022387,-0.039145794,-0.30626824,0.06369704,-0.008269275,0.07523282,-0.0027029524,-0.29415068,-0.05197657,-0.03223503,0.15432055,-0.08524859,-0.27607006,0.036796,0.26723504,0.07526394
16,10,1,0.43677765,0.32855308,-0.22965129,0.24799068,0.08674541,-0.27231064,-0.23295431,-0.15357669,-0.041149635,-0.33184913,-0.096375264,-0.5490133,0.08185636,0.2175801,0.14793067,0.06782206,-0.049345717,-0.1773372,-0.03223055,-0.00481965,0.23502459,0.18214433,0.181636,-0.06897059,-0.30730164,0.2505889,-0.15265572,0.22328262,0.11842238,-0.20811601,0.03621589,0.13835245,0.2010057,0.32199264,0.017322797,0.28453156,-0.094245516,0.18090586,-0.012874942,0.31012172,0.34804472,0.11751405,0.18994373,0.2283114,0.20302993,-0.19850874,-0.01448305,0.12263824,0.10419876,-0.18656456,-0.37215444,-0.1479843,-0.18191703,-0.08343217,-0.03311164,0.18352546,0.4354993,-0.037026763,0.08638826,0.42268324,-0.00053257844,0.2612987,0.22120892,-0.14397715,-0.5597084,-0.21664438,0.3147487,-0.27797145,-0.16895173,-0.2521135,-0.05550663,0.17851315,0.102889545,0.30086958,0.033061165,0.09261791,0.08247282,0.18903801,0.14935528,-0.316653,-0.42012253,-0.2094772,-0.29059306,-0.021873562,0.07446591,0.22635588,0.07754104,-0.23686118,-0.11041766,-0.09194428,0.21364334,0.038617138,-0.0017067327,0.042290032,0.14696808,0.025729995
17,5,1,0.37953115,0.3382193,-0.14712462,0.19719955,-0.13966012,0.07924514,-0.17951366,-0.22706474,0.123262264,-0.3914099,-0.13407795,-0.65040696,-0.169188,0.12656704,0.19931903,0.060112067,-0.03858287,0.26607955,-0.04605872,0.04093603,0.361917,-0.06587678,-0.14465691,-0.32881942,-0.36313346,0.026583174,0.004267376,0.22350428,0.23679389,-0.2519477,-0.30692878,0.06431611,0.3877749,0.025631906,-0.00031050295,0.4708486,-0.19745718,0.002101545,-0.037405703,-0.23085995,0.21580723,-0.056885663,0.1604339,-0.09265134,-0.16108675,-0.102971666,0.4067254,0.20414282,0.20887196,-0.09089051,-0.29737338,-0.31958517,-0.31424314,0.23507077,-0.09701336,0.38250968,0.076838546,-0.33242145,0.21768732,0.46645844,0.19808552,0.23874089,0.08949701,0.11737688,-0.5359305,-0.5336801,0.10489825,-0.26696163,-0.17814939,-0.3361111,0.075388044,0.13881879,-0.09858988,0.19446471,0.14579041,0.14556274,0.12575538,-0.15331653,0.076620094,-0.54668254,-0.4198413,-0.14798118,-0.34320384,-0.026880017,-0.27464128,0.45437977,-0.013870821,-0.2352651,-0.060180772,-0.2503515,-0.12707703,0.25327596,0.1776551,0.38969913,0.3722606,0.10152963
18,9,1,0.38041148,0.23245847,-0.36864853,0.15168835,0.09338895,-0.094021,-0.059994668,-0.15938386,-0.12189167,-0.46512055,-0.01815939,-0.66104835,0.0062407413,0.0707522,-0.030466275,0.14040704,-0.24970903,-0.005403468,-0.22283623,-0.09350925,0.39604804,-0.08000525,0.3036392,-0.08717331,-0.29848415,0.25199234,-0.061635483,0.005122062,0.07781893,-0.4304818,0.13663408,0.29600748,0.13386983,0.12966987,-0.12876728,0.27266103,-0.26847017,0.4271957,-0.2639722,0.10317755,0.24580485,-0.13537371,-0.03616249,0.062710576,0.08598088,-0.24790272,0.4640315,-0.015708525,0.076714635,0.051112365,-0.2039641,-0.3583204,-0.100971565,-0.0026373877,-0.02173591,-0.0014102822,0.42862356,-0.2887008,-0.038431946,0.042066667,-0.18351662,0.18761145,-0.101727046,0.16115783,-0.6636738,-0.3497759,0.22483128,-0.4244996,-0.027392797,-0.4401234,-0.055581376,0.036009576,0.15772948,0.45946062,0.05252915,0.20702323,0.11358814,-0.032810997,-0.122441076,-0.33030286,-0.34527892,-0.12822545,-0.33016595,-0.14385314,0.13367195,0.40088055,0.04941928,-0.3117042,-0.3580823,-0.109445594,0.1932094,-0.042828996,-0.23329458,0.2016508,0.2370335,-0.16146982
19,5,1,0.25971618,0.336465,-0.1922425,0.2130916,0.08189181,-0.270174,-0.1293107,-0.17531854,0.01640106,-0.4380874,-0.3043543,-0.5934675,-0.06655436,0.2845241,0.09832673,0.08415896,-0.21963055,0.026886385,0.011712165,-0.00250415,0.263621,-0.054390702,0.014845119,-0.15695289,-0.3599607,0.2310262,-0.111815006,0.1302477,0.25818577,-0.27515766,-0.059462413,0.058461238,0.22073738,0.05103693,0.018318333,0.43319675,-0.15433846,-0.008267398,-0.11865565,-0.06648761,0.2220299,0.05480338,0.14556588,0.053718064,0.05713611,-0.18273613,0.48786846,0.31159687,0.2644944,-0.23229806,-0.18360277,-0.21708366,-0.20677969,0.20443664,-0.09099428,0.042017523,0.27371848,-0.18688385,0.043036982,0.3531993,0.13430129,0.22006494,0.058267932,0.037155762,-0.59681594,-0.41853222,0.039471604,-0.30180982,-0.17100252,-0.26026157,-0.06235677,0.13286714,-0.053721074,0.29923457,0.19409627,0.1204377,0.20301628,-0.22956355,0.08118736,-0.36930415,-0.40028223,-0.1821703,-0.28721273,-0.071522884,-0.121024705,0.356246,0.04466048,-0.27684328,-0.21509331,-0.22361028,0.046824567,0.035139035,-0.09204543,0.2026519,0.3557003,-0.11898577
