,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,9,1,0.18310672,0.16502203,0.4681104,0.20433083,0.16433154,0.26238462,-0.44457462,0.43723518,-0.052079752,-0.089019895,0.18599385,0.03950928,-0.18451318,0.09464488,-0.013465693,0.22101964,0.25290915,0.1594218,-0.1617763,-0.4588521,0.0617655,-0.028963324,-0.108486526,-0.23102853,0.05660014,0.10505435,-0.561818,0.15035896,-0.019294363,-0.3316909,0.1415875,-0.38805678,-0.06837007,0.32010442,0.45476902,0.20529625,-0.34614182,0.037395816,0.10098219,-0.18383834,-0.38131425,0.12749673,0.21757028,0.27722436,0.49630165,-0.15452825,0.19377503,0.017941497,-0.07155285,-0.2829931,-0.22933333,0.17522825,-0.13225669,0.0926293,-0.054369323,0.4074715,0.1404819,0.025654921,0.5891547,-0.14891379,0.21316354,0.19533838,-0.092930466,0.010312668
11,5,1,0.03742209,0.39187682,0.33990043,-0.0013370953,0.16340171,0.26425847,-0.36155838,0.37972152,-0.23991193,-0.11813811,0.09039988,-0.04078732,-0.21735421,0.23554526,-0.088968195,-0.0028690319,0.21016589,0.16486888,-0.102566674,-0.45104116,-0.07784491,0.09347497,-0.14794843,-0.1005669,0.23113333,0.115022674,-0.3449333,-0.114480264,0.100946434,-0.21939449,-0.11562334,-0.29987234,0.27362034,0.07135736,0.1712721,0.18686228,-0.29591563,0.062325805,0.19111642,-0.14588892,-0.4188015,0.16667043,0.27428174,0.089037426,0.46882892,-0.06612002,0.10265065,-0.108955964,0.025699679,-0.3435986,-0.28717735,0.1768017,-0.19193067,0.010303163,0.21499561,0.32305527,0.29693848,0.023410281,0.5122212,-0.16164032,0.2084536,0.2233509,-0.07601546,-0.03416981
12,1,1,0.033107724,0.19238117,0.5136725,-0.062446423,0.09440487,-0.06837011,-0.51330423,0.2272333,-0.07095112,-0.18668365,0.22941916,0.24731098,-0.38851598,0.13237438,-0.32370698,0.14770769,0.18455915,0.10158213,-0.10070712,-0.46801117,-0.20299883,-0.17164111,-0.23117897,-0.05104221,0.13806278,-0.17527466,-0.51825714,-0.039087035,0.10109581,-0.22218621,0.06405674,-0.19854663,-0.26505664,0.3203264,0.19919217,-0.0511761,-0.36137438,-0.005015622,0.48187515,-0.19829729,-0.374015,-0.034595426,0.16924392,0.31721,0.36991802,-0.15231943,0.44678047,0.07713027,-0.06377205,-0.11284378,-0.44909754,0.19643377,-0.16044928,-0.086113855,0.059587162,0.37486842,0.14024971,-0.06859958,0.60794306,-0.18285145,0.34034014,0.14287409,-0.1824894,0.1296293
13,9,1,0.018609703,-0.09797941,0.7011378,-0.1099243,0.26084876,0.4004315,-0.4138754,0.38524008,-0.09507621,0.0520578,0.33897448,0.35040292,-0.20031795,0.088338405,-0.22337295,0.40348524,0.16961035,0.32233363,-0.40754333,-0.5490703,0.08711549,-0.042052757,-0.18600202,-0.23495282,0.1164607,0.16227336,-0.55028445,-0.015818916,0.046896003,-0.4520686,0.28560233,-0.33924946,-0.12892659,0.0673696,0.34843507,-0.052086182,-0.55429703,0.0061451094,0.23179981,-0.17668037,-0.4756958,-0.15002304,0.119755246,0.31492344,0.3736302,-0.10421939,0.35382718,0.026297852,0.23893525,-0.20123781,-0.31827927,0.23718368,0.016690603,-0.22453733,0.075985625,0.52825373,0.31679133,-0.13203833,0.5853603,-0.10621759,0.08226177,0.3387055,-0.13608702,0.07983439
14,9,1,0.19323929,0.16779688,0.4336585,-0.038327403,0.22449367,0.14176416,-0.31440967,0.36382896,-0.21166418,-0.24742383,0.28834233,0.20955266,-0.16861649,0.18384668,-0.16487443,0.23998906,0.18691549,0.2293129,-0.13676588,-0.510722,0.02810267,0.11375329,-0.17093745,-0.1814995,0.14143692,-0.05211544,-0.62435067,-0.012700754,0.23631848,-0.36745378,0.030606855,-0.36258966,0.17959024,0.17184718,0.4404622,0.18581808,-0.37783316,-0.009975818,0.2305904,-0.033896368,-0.46820635,-0.021665815,0.20140971,0.13058189,0.37318566,-0.113399945,0.1736513,-0.015855512,0.0012794167,-0.2923297,-0.25686324,0.16985758,-0.015928837,-0.18061557,0.15261108,0.40423945,0.23269604,0.00093080074,0.62186867,-0.10092227,0.17717306,0.2514994,-0.06949495,0.056798927
15,9,1,0.15090244,0.34275523,0.4382727,0.15305611,0.18053326,0.1720997,-0.41174877,0.45220977,-0.29203677,-0.099986605,0.003347712,-0.0153112905,-0.20580581,0.1598024,-0.19983216,0.31951243,0.12861459,0.124533504,-0.07370404,-0.57697725,0.07966864,-0.091202594,-0.17552102,-0.025106287,0.040161617,0.10535578,-0.42151177,0.021053199,0.28364956,-0.4127626,0.027347857,-0.3030551,-0.03874868,0.15977736,0.16968225,0.28752625,-0.4334929,-0.031444237,0.117098466,-0.21035747,-0.37150916,0.076195285,0.07382278,0.07380284,0.40586334,-0.30143955,0.13916886,0.12153674,-0.10916774,-0.6179791,-0.3134177,0.09852788,0.045872025,-0.25018424,-0.13630992,0.14704117,0.25596803,0.048349872,0.61624444,-0.18108611,0.15031984,0.31016645,-0.14915138,-0.1575313
16,9,1,0.15439318,-0.010229276,0.5451428,0.10437886,0.21063069,0.21340957,-0.31062576,0.30930504,-0.06625986,-0.114302695,0.28669375,0.21071917,-0.18238445,0.109001696,0.013291857,0.2589251,0.23272121,0.32637388,-0.33696377,-0.5666255,0.16830106,0.13509786,-0.09536753,-0.24894084,0.12316269,0.042162962,-0.5432717,-0.009363795,0.0983253,-0.4044037,0.09233236,-0.47919035,-0.11051597,0.3513413,0.47458407,0.19402683,-0.45289358,0.015678547,0.2067732,-0.0602907,-0.39165038,-0.001060329,0.2221674,0.42544335,0.3574882,-0.20046559,0.13497177,-0.05580827,0.1186443,-0.29652897,-0.24607462,0.0184427,0.026694102,-0.14947818,-0.06252011,0.5260591,0.25989044,-0.0012241969,0.5666967,-0.1870686,0.30288908,0.15879446,-0.016217554,-0.017001178
17,7,1,0.09039985,0.5302343,0.52707446,0.35435006,-0.024807071,0.44018006,-0.18975258,0.3856454,-0.19668142,-0.35006592,0.25507325,-0.11131207,-0.28073603,0.18369439,0.25410575,0.20090796,0.27381703,-0.012483396,-0.052904237,-0.4330224,0.09753125,-0.08056059,-0.10297442,-0.33203402,0.044046782,0.11898916,-0.52469146,0.4777466,-0.045489963,-0.25338063,0.25053132,-0.3848526,-0.1535013,0.4990308,0.4414476,0.39177176,-0.52635396,-0.08082512,0.36177224,0.21609719,-0.17938763,-0.13948517,-0.03989714,0.04788138,0.4906056,-0.095368996,0.2444985,0.09409697,-0.12455548,-0.4135738,-0.08939849,0.09980494,-0.0026492935,-0.09408098,0.22317202,0.42461556,0.46724528,0.21738541,0.66932404,-0.22687966,0.075823545,-0.15951957,-0.20501459,0.26933745
18,1,1,-0.05154544,0.21576332,0.48880473,-0.15289839,0.09111745,0.18859474,-0.29818335,0.15287216,-0.029592134,-0.1533262,0.0033123968,0.071718566,-0.17960961,0.2154264,-0.3299943,-0.16959019,0.13623835,0.05043428,0.015662849,-0.56088156,-0.26261684,-0.13987969,-0.18899937,-0.12685744,0.36893213,-0.1650735,-0.37953234,0.05802806,-0.013139386,-0.25064725,-0.07874061,-0.29392096,-0.019567814,0.22640502,0.19223954,0.12282612,-0.39027455,0.11962997,0.334721,-0.13706642,-0.45303077,0.07347429,0.13834698,0.36467406,0.39957443,-0.2028939,0.18258633,-0.06902432,-0.26647663,-0.059020862,-0.25447875,0.20661345,0.0015808182,-0.12905593,0.21828406,0.45179188,0.16997515,-0.22363074,0.57150155,0.01611211,0.25565845,0.049400102,-0.12676628,0.045276325
19,7,1,0.17624378,0.41393253,0.4399099,0.07905567,0.2907018,0.24000648,-0.29025778,0.15530604,-0.33419365,-0.32062462,0.35777345,0.073823415,-0.2943639,0.26535374,0.12868568,0.059044305,0.2661988,0.019343466,0.13477565,-0.6165459,-0.0753104,-0.12020689,-0.0944171,-0.31726518,0.103310905,0.13630782,-0.502925,0.09408344,0.09254426,-0.0947996,0.22738087,-0.2841869,0.13193436,0.55061173,0.33206117,0.3438699,-0.3159122,-0.09967178,0.48418334,0.068415396,-0.27279955,-0.04969503,0.09293176,0.17414226,0.49942708,-0.013425583,0.16211043,-0.036628153,-0.19110484,-0.378037,-0.0483135,0.037340276,-0.17289221,-0.13486153,0.13382696,0.19942243,0.2896872,0.0788985,0.70574975,-0.18422931,-0.040551186,-0.10662339,-0.058481436,0.0012443804
