,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
14,6,1,-0.045682352,0.032229166,0.17125054,0.42196837,-0.32682154,0.14099473,0.1614997,-0.0060959673,0.30003715,-0.08136391,-0.7240077,0.28071007,0.46886742,0.29426104,-0.30214682,-0.036633104,-0.35869956,0.41498348,0.08579966,-0.07056547,0.56089425,0.013008978,0.16722928,0.56308967,-0.32451412,-0.19017562,0.29872313,-0.38075247,0.26019758,-0.22029175,-0.11960334,-0.13580985
15,6,1,-0.18461008,0.16315827,0.14734146,0.39284945,-0.13324344,0.3127241,0.3032003,-0.22056451,0.34611076,-0.10387049,-0.6595666,0.3186477,0.32665697,0.1923225,-0.09368571,0.031834584,-0.13086936,0.35554323,-0.07004907,0.082338214,0.5831841,0.05625563,0.022189822,0.5414913,-0.0691813,-0.098153226,0.1327134,-0.23438154,0.14952385,0.08439056,0.042144243,-0.4354347
16,6,1,0.00079582614,0.14738543,0.29759157,0.44071713,-0.44889227,0.04438307,0.25670248,0.2066323,0.2595436,-0.0665659,-0.77959067,0.2626039,0.4673441,0.33217576,-0.2238943,0.13043505,-0.33436453,0.35719404,0.1363257,-0.1298933,0.5000497,0.06100219,0.29208526,0.50238276,-0.2930437,-0.08877462,0.04474678,-0.42971978,0.21099664,-0.16040015,-0.26558915,-0.08628047
17,9,1,-0.12155101,0.07942029,0.17241347,0.6092421,-0.21615241,0.07005449,0.2222529,0.279826,0.18096545,-0.102504745,-0.80951965,0.32916626,0.39928433,0.24359332,0.15073228,0.14772865,-0.025702074,0.3705917,-0.10586974,0.13557845,0.35348085,-0.10666167,-0.02649103,0.4368411,-0.2056841,-0.4896625,0.1928823,-0.4633848,0.25714284,0.09276915,-0.27280262,-0.1474956
18,9,1,-0.3202066,0.07933327,0.22365227,0.29299024,-0.4172155,-0.23127078,0.2692335,0.16726215,0.21771921,-0.014882181,-0.7838764,0.3748335,0.31705916,0.30695271,-0.19409627,0.27546647,-0.34836426,0.54169804,-0.13654707,-0.018077606,0.5237673,0.16580136,0.09815669,0.5313907,-0.36053976,-0.2574913,0.112431325,-0.23184806,0.23697929,0.12112483,-0.2902298,-0.06715833
19,9,1,-0.22724612,-0.02020032,0.08710289,0.53076667,-0.2617049,0.06088995,0.28018814,0.10948423,0.0837343,-0.13586053,-0.7896259,0.2324386,0.35438183,0.45705542,-0.005586171,0.06784971,-0.30947712,0.45829713,-0.07376994,-0.058242526,0.4976491,0.070508465,-0.18342969,0.52331567,-0.23594664,-0.3215775,0.0730917,-0.42416048,0.25538278,-0.056063544,-0.12684472,-0.23010139
20,9,1,0.012779196,0.15325281,0.18184115,0.6202243,-0.3302431,0.14118919,0.2253309,0.45311594,0.107692,-0.15185606,-0.8189391,0.39133838,0.30163726,0.40388176,0.022215864,0.036393907,-0.024885343,0.39385173,0.12511098,0.22779089,0.4204119,0.19144166,0.001277705,0.57429457,0.026683656,-0.5018366,0.0949027,-0.3289657,0.1309569,0.12555508,-0.0983352,0.042309456
21,2,1,-0.04322924,0.16255674,0.034555223,0.39686024,-0.3848708,0.11259547,-0.070933275,-0.16546293,0.49608913,-0.2191098,-0.7342898,0.32255718,0.26811233,-0.16800763,-0.41087893,-0.3119628,-0.27414063,0.35925347,-0.2866736,0.006962369,0.48369962,0.38480076,0.18235652,0.50417274,0.31426996,0.055969648,0.13728485,-0.47291246,0.28298992,0.05187491,0.30156064,0.15672657
22,7,1,-0.19316673,-0.015741445,0.5008209,0.4250205,0.040179566,-0.4271585,0.067488894,0.65302104,0.26165566,0.1022314,-0.7518872,0.22279672,0.5221643,-0.16236845,-0.36133346,0.21515831,0.017734516,0.22026174,-0.29344288,0.14510438,-0.030333435,-0.39955884,0.68343246,0.31376818,-0.062082596,-0.52625835,0.43982354,-0.37858987,0.15641639,-0.28004515,-0.016201133,0.42938167
23,6,1,-0.111047596,0.18116675,0.05315433,0.34040385,-0.2281868,0.043696526,0.18208803,0.25817758,0.39832255,-0.17154332,-0.60052454,0.50105536,0.56119543,-0.3010059,-0.19668931,0.029737405,-0.18411067,0.34365243,-0.08677586,-0.3068192,0.41316223,0.102799796,0.17454697,0.44972724,-0.10837439,-0.023120016,-0.1311694,-0.49480227,0.19527042,0.22385265,-0.33650655,0.11287228
24,6,1,0.23224953,0.18596081,0.42411545,0.48883697,-0.35585722,0.3768045,0.10627273,0.36304566,0.45316952,-0.16385241,-0.72071505,0.2790077,0.43913743,0.13219799,0.24395573,0.12357613,-0.027688516,0.4254046,0.23250233,-0.013406368,0.27864233,-0.18397528,0.13579202,0.66358006,-0.16264923,-0.10733724,-0.10508638,-0.28326178,-0.09809191,0.23908477,-0.25256953,0.24072091
25,6,1,-0.16324478,0.08792472,-0.05631601,0.4357943,-0.22089733,0.10581225,0.031023892,-0.22242169,0.42969048,-0.14522378,-0.6943002,0.40202218,0.4678584,0.16879077,-0.104760006,-0.13229042,-0.3225981,0.45864806,-0.101193555,0.012406074,0.43040845,0.083945505,0.10317448,0.5969795,-0.17803061,0.021158034,0.22481704,-0.43993726,0.23973043,-0.069907494,-0.01073376,-0.021112727
26,7,1,0.19847864,0.37282133,0.22282998,0.4932674,-0.3801669,0.35315913,0.12356185,0.4249358,0.35900766,-0.4480639,-0.7148596,0.39950895,0.47377595,0.038839374,-0.09262766,-0.15326312,-0.10289942,0.21071027,0.26721433,0.11548851,0.3908664,0.056390643,0.22145724,0.3212236,0.061768036,0.000939503,-0.02471887,-0.36717236,-0.0028982975,0.35917032,-0.05062421,0.06724059
27,6,1,0.08573427,0.08188714,0.121113464,0.37798068,-0.3278735,0.12876897,0.07506323,-0.08950076,0.23014641,-0.011896036,-0.7459996,0.31892967,0.28950357,0.19422983,-0.28973243,-0.043795433,-0.281953,0.2897984,0.026866332,0.051422022,0.4991059,0.034148656,0.24405088,0.5252363,-0.08882511,-0.08835457,0.17186679,-0.32519725,0.25726506,-0.11372727,-0.026210945,-0.04728396
28,7,1,0.25827637,0.0714951,0.34393975,0.26698256,-0.33704913,0.059533495,-0.067960516,0.13840328,0.2784465,-0.23388629,-0.6842128,0.5090503,0.4238679,-0.08746282,-0.10864161,0.049818918,0.098390184,0.22032127,-0.044223912,0.13939485,0.37848404,0.10020531,0.23008516,0.42667833,0.22700419,0.14863318,0.32545438,-0.3399227,0.22670698,0.0061151218,-0.13555215,0.069964245
29,8,1,0.049366806,0.044103727,0.17168547,0.31468984,-0.08257727,0.23300484,0.09504299,0.2528719,0.11486364,-0.25430495,-0.67703766,0.44723663,0.24610427,0.078582995,-0.021835858,-0.08735422,0.11702414,0.1715509,-0.03527193,0.08251562,0.22287744,0.12693569,0.021545712,0.53898805,0.1735713,-0.12352765,0.29678553,-0.26709682,0.042038374,0.09177436,0.06582989,0.12695868
30,4,1,0.15647809,0.37226117,-0.020557133,0.4199138,-0.057632927,0.073442705,-0.20597595,-0.17851721,0.39406165,-0.19287369,-0.5436474,0.6312051,0.30280113,-0.0023132912,-0.048976053,-0.38646457,0.34574255,0.21952575,-0.47388104,0.25446486,0.14035198,0.27112073,-0.14393294,0.4784676,0.122194745,0.16558461,0.14319323,-0.4359819,0.2957006,0.024180913,0.14147411,-0.024436895
31,8,1,-0.028484467,0.10364285,0.17706169,0.27710283,-0.08152998,0.46597517,0.030440541,-0.019858245,0.22077446,-0.19314338,-0.6845349,0.37633905,0.3646651,0.059708744,-0.16255988,0.040396925,0.12606938,0.120926976,0.23244417,0.118960366,0.43057635,-0.10211486,-0.015660414,0.6224764,0.15221636,-0.1583257,0.24594386,-0.264037,0.101302534,0.1323811,-0.015556823,0.1430823
32,6,1,-0.15000841,0.090078644,0.088435605,0.18676539,-0.4446679,0.040258605,0.115024135,0.16652462,0.321378,-0.107809916,-0.7922113,0.2917076,0.5266083,0.13587202,-0.39745295,0.056439508,-0.37203282,0.36529198,0.06383115,-0.057316594,0.5197122,0.02410295,0.26462382,0.54687804,-0.20822394,-0.03339861,0.15422606,-0.39163336,0.27912363,-0.27246958,-0.34276298,0.11477528
