,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,29,1,0.1424065,-0.21947163,-0.024204863,0.09261256,0.2988608,0.054108102,-0.34911785,0.16206646,-0.24952985,0.10993255,0.19074723,0.2585373,0.71360695,-0.09017646,0.1296806,-0.084497705,-0.008918034,-0.011579666,-0.15844211,0.33286113,0.33556992,0.3607078,0.39272577,-0.4155218,0.210599,-0.10627478,-0.028468555,-0.33017343,0.28632212,0.07765812,-0.017194752,-0.03279264,0.41067803,-0.19404311,0.3825475,0.007418027,0.07626287,0.01737244,0.698009,-0.2425336,0.02699034,0.17518103,0.20010138,0.19073516,0.0053179655,-0.18854034,0.13609794,0.31548166,-0.74657524,0.36724985,0.18227582,-0.17084195,-0.0431156,0.14146867,0.13005991,-0.18336034,0.01884767,0.12009145,-0.40680084,0.07338575,-0.47923663,0.06356653,-0.28399798,0.43426862
11,12,1,0.21007097,-0.27782902,-0.091550596,-0.008379084,0.26345086,0.022514114,-0.26026335,0.1882976,-0.12209389,0.16612692,-0.06751203,0.25846106,0.6366103,-0.24436305,0.11676562,0.13750535,-0.05341616,0.044707876,-0.15845093,0.082456976,0.19300586,0.4041572,0.31658068,-0.35682875,0.060452893,0.09577244,-0.08299245,-0.2448279,0.38305166,0.13170376,0.132004,0.042658575,0.4767982,-0.14056577,0.28051668,0.0276321,-0.030563295,0.1386639,0.561616,-0.1561847,0.11494912,0.08024747,0.12618859,0.21072797,0.03332169,-0.17947367,-0.06097949,0.12033758,-0.6935955,0.49431446,0.14347301,-0.2066837,-0.0050210445,-0.14579724,0.22367747,-0.02300202,0.039343633,0.15198414,-0.26845476,-0.06310161,-0.3698509,0.051629916,-0.47511134,0.2206467
12,23,1,0.09553169,0.061886445,-0.09728038,0.121340066,0.13889773,-0.111342765,-0.09026059,0.35490444,-0.07823164,0.09507276,0.031135594,0.231135,0.19819067,-0.029333504,0.016222738,0.33579528,-0.0069342335,0.033142593,-0.22589113,0.12809339,0.14654568,0.28373352,0.3988437,-0.5363645,0.079853915,0.013913777,-0.037240822,-0.18924081,0.19994247,0.123760864,0.015279586,-0.09463403,0.33656722,0.006757961,0.4023122,0.061029103,0.041533582,-0.018656172,0.40526766,-0.1483843,-0.04244609,0.018836,0.006575071,0.017896932,0.05434214,-0.12569496,-0.07351852,0.08549089,-0.5859314,0.3839603,0.13142762,-0.14506,0.041431494,-0.04420361,0.21467966,0.091305144,0.005404092,-0.029712787,-0.17758797,-0.18526804,-0.16841815,-0.004634701,-0.3176687,0.17210981
13,7,1,0.4514946,-0.3258389,0.104886495,0.092152424,0.18944295,0.058655553,-0.3276328,0.3298345,-0.36135092,0.048442625,-0.26170418,0.30755386,0.57569337,-0.12631431,0.0041820034,-0.18412296,0.15807523,0.12538177,-0.3036502,0.46623376,0.13627626,0.3832186,0.20890653,-0.20326082,-0.029221034,-0.04188554,-0.031394474,-0.16504663,0.44063964,0.23651521,-0.19313051,0.045829695,0.30317396,0.012428158,0.3186072,0.21725678,-0.3691465,0.23502406,0.40687963,0.018010575,0.06440394,-0.05079437,-0.065278225,0.3663231,-0.17529227,-0.10309019,-0.03857432,0.35447899,-0.67850417,0.41662437,0.012604254,0.058603384,0.053321093,-0.04000781,0.008947878,0.012774935,0.13787544,0.298177,-0.17318515,-0.14195235,-0.4686078,0.18745737,-0.42531025,0.045109067
14,7,1,0.14474376,-0.30550635,0.16087617,0.11432141,0.28899023,0.17532986,-0.23394145,0.22129542,-0.28462154,0.23179556,-0.16896841,0.14364347,0.5892333,-0.15999398,0.039915763,-0.14544642,-0.01593604,0.044777386,-0.17951259,0.3883645,0.12965184,0.28876537,0.23619923,-0.08242522,-0.0063426592,0.060749467,-0.12803909,-0.2514509,0.37687594,0.12472181,0.047826372,-0.0010039468,0.37681586,0.18686259,0.34825617,0.1738683,-0.116439655,0.09497365,0.53298163,-0.015400489,0.061617892,-0.055156063,0.01600378,0.17084971,0.05097137,-0.122665435,-0.15856025,0.32278994,-0.68469006,0.5366647,0.034531202,-0.18732804,0.06503327,-0.047887396,-0.033338945,-0.08959404,0.0041541294,0.19124141,-0.2594044,-0.11460944,-0.35307443,0.14595026,-0.42503333,0.10777403
15,15,1,-0.1399638,-0.13241658,0.03490427,0.17109892,0.31138286,-0.08611748,-0.24920829,0.2678475,-0.06313727,-0.0016847417,-0.15820612,0.10844731,0.40888542,-0.26340163,-0.056815628,0.17070436,0.18690947,0.057247013,-0.093301274,0.10454078,0.042504124,0.20806856,0.41251424,-0.38182718,0.09766392,-0.026030414,-0.27912953,-0.11280795,0.25584137,0.29074135,0.13815494,-0.08309779,0.52786434,0.17404671,0.3197683,0.17228132,-0.09767754,0.04060212,0.48503345,-0.056664575,0.13930151,0.055981286,0.09743645,0.26381323,-0.08433076,-0.20188414,0.0076134056,0.016353097,-0.6604471,0.44558397,0.050679427,-0.20011055,0.0104582915,-0.15041342,0.20744762,0.015359695,-0.048385683,0.0767699,-0.053228337,-0.015767384,-0.25956485,-0.033828296,-0.28949708,0.2953149
16,7,1,0.26361018,-0.3034925,0.2012414,0.08077152,0.3186502,0.12155373,-0.21757984,0.2123086,-0.30653408,0.17840996,-0.10443488,0.19651413,0.6353248,-0.12863396,0.06253978,-0.24899524,0.052391585,-0.04048183,-0.2595157,0.44516858,0.29207826,0.37192035,0.23752654,-0.12693842,0.11555258,0.008494395,-0.17811434,-0.20077056,0.40945143,0.1411057,-0.11974568,-0.07026675,0.34180245,-0.0949656,0.2599376,0.16076134,-0.09477401,0.110573426,0.47315568,-0.06952285,0.028066698,-0.017369816,-0.006367951,0.22321972,-0.059108857,-0.093629315,-0.11134251,0.30726507,-0.6684286,0.42137977,0.0090069715,-0.10149258,-0.014723007,0.05411345,0.018365784,-0.11651804,0.0550005,0.18465045,-0.26457545,-0.114256635,-0.345709,0.114614874,-0.3942109,0.1926471
17,6,1,0.31101418,-0.17008094,-0.031966787,-0.020892961,0.004402654,-0.08439337,-0.19994828,0.41113806,-0.12201405,-0.026208956,0.13296638,0.06389881,0.5109868,0.07205459,0.050658423,0.1067946,0.0030751876,-0.051562224,-0.24219817,0.24243763,0.31848902,0.4150689,0.523246,-0.4001379,0.074247934,-0.07124383,0.1174024,-0.28318745,0.1578594,0.09082162,-0.11435226,-0.19856822,0.4382962,-0.07991846,0.54143476,-0.068308674,0.048222143,0.12165976,0.44402018,-0.123007014,-0.23583935,0.1899999,0.038433462,0.11578974,0.03536729,-0.14295116,-0.15834057,0.24590234,-0.6908766,0.3279836,0.003448629,-0.22283815,-0.090623975,0.072121955,-0.0019857709,-0.024758464,0.018506834,0.18260367,-0.33636704,-0.043239105,-0.1935235,0.25093603,-0.25774354,0.35605034
18,4,1,0.1769202,-0.23152505,0.026400974,-0.019972151,0.15490443,-0.15567073,-0.22898851,0.15254025,-0.22502185,-0.06533406,0.06610355,0.27846766,0.23560455,-0.15770209,0.3002711,0.44548193,0.034615345,0.24666482,-0.1389889,-0.112924196,0.07292039,0.1725252,0.44932353,-0.24249929,0.011634555,0.11556631,-0.21512574,0.027403029,0.32739937,0.38248774,-0.05553302,0.056382973,0.17317288,0.056994207,0.29408556,0.047120217,0.2223521,0.06931169,0.3438393,-0.19501935,0.0022212863,0.09801231,0.05043282,0.2155911,0.18766725,-0.19829509,-0.07662956,0.18823172,-0.5076663,0.28106168,0.15431939,-0.074635155,-0.015412109,0.1561145,0.33354947,-0.09381657,0.38111383,-0.06783217,-0.21277487,-0.18168315,0.08956696,0.20626633,-0.3919876,0.026268234
19,23,1,0.07798784,-0.13718423,0.017511187,0.065288335,0.2678564,-0.045946926,-0.24603887,0.28887552,-0.14437523,-0.0062126163,0.0006357878,0.17876202,0.5190902,-0.008481005,-0.02724682,0.11579889,0.1203132,-0.08213998,-0.11443081,0.12178039,0.24351333,0.29238415,0.43678477,-0.27767196,0.17053822,0.005476092,-0.113716625,-0.3010532,0.25854182,0.19469555,-0.10997781,-0.18278064,0.43702713,-0.046140295,0.53132945,0.021310508,0.043029718,0.046538565,0.5129538,-0.13930844,0.0038998674,0.06887082,0.08956626,0.117891215,-0.045303114,-0.07911111,-0.08108221,0.11604538,-0.68809116,0.3383546,0.18410817,-0.31029233,-0.037293617,-0.055809487,0.124625646,-0.026670797,0.038292922,0.056113556,-0.37980688,-0.037858006,-0.221476,0.24281202,-0.22940724,0.3715193
